GEOID,median_income,total_commuters,commute_30_34min,commute_35_39min,commute_40_44min,commute_45_59min,commute_60_89min,commute_90plus_min,workers_16plus,workers_no_vehicle,commute_mode_total,transit_commuters,disability_pop,medicaid_total,medicaid_below_poverty,medicaid_above_poverty,median_gross_rent,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_not_computed,total_population,school_enrollment_public,educational_attainment_base,total_households,households_no_vehicle,pct_transit_commuters,pct_no_vehicle,pct_rent_burdened_severe,hourly_wage_estimate,stop_count,route_count,transit_score,is_transit_desert,crash_count,total_fatalities,total_jobs,housing_cost_ratio,transport_cost_ratio,ht_combined_ratio,ht_above_threshold,disability_actual,school_age_pop_5_17,elderly_65plus,single_parent_hh
39049003000,77039.0,1775.0,17.0,0.0,17.0,93.0,37.0,20.0,2445.0,165.0,2581.0,6.0,3740.0,3740.0,61.0,145.0,1596.0,167.0,100.0,62.0,341.0,3740.0,672.0,2770.0,2504.0,442.0,0.0023,0.0675,0.0248,37.04,56.0,28.0,1.0,False,1.0,1.0,1914,0.2486013577538649,0.1227949480133439,0.3713963057672088,False,610.0,37.0,235.0,19.0
39049003200,90100.0,1586.0,104.0,23.0,15.0,9.0,22.0,0.0,2149.0,27.0,2149.0,16.0,2861.0,2861.0,0.0,84.0,1658.0,29.0,75.0,255.0,140.0,3067.0,286.0,2796.0,1858.0,84.0,0.0074,0.0126,0.1372,43.32,7.0,3.0,0.0134,False,0.0,0.0,1749,0.2208213096559378,0.1098690344062153,0.3306903440621532,False,282.0,0.0,598.0,0.0
39049003600,50128.0,845.0,122.0,25.0,0.0,0.0,20.0,0.0,1175.0,61.0,1175.0,30.0,1983.0,1983.0,68.0,72.0,917.0,58.0,39.0,56.0,247.0,1983.0,365.0,1523.0,1180.0,264.0,0.0255,0.0519,0.0475,24.1,20.0,5.0,0.0638,False,0.0,0.0,1000,0.2195180338333865,0.1912065113309926,0.4107245451643792,False,269.0,250.0,336.0,59.0
39049003700,74712.0,1425.0,58.0,0.0,10.0,23.0,104.0,0.0,2069.0,55.0,2069.0,56.0,3375.0,3375.0,59.0,293.0,1025.0,8.0,22.0,117.0,315.0,3385.0,698.0,2560.0,1662.0,218.0,0.0271,0.0266,0.0704,35.92,29.0,3.0,0.0555,False,0.0,0.0,1706,0.1646321876003854,0.1309990362993896,0.2956312238997751,False,374.0,539.0,249.0,139.0
39049003800,73434.0,1235.0,170.0,10.0,23.0,29.0,11.0,0.0,1672.0,100.0,1674.0,25.0,2315.0,2315.0,60.0,62.0,1095.0,66.0,67.0,86.0,109.0,2513.0,310.0,2098.0,1287.0,76.0,0.0149,0.0598,0.0668,35.3,17.0,3.0,0.0325,False,0.0,0.0,1225,0.1789361875970259,0.1296620094234278,0.3085981970204537,False,372.0,103.0,189.0,63.0
39049004001,33980.0,944.0,32.0,23.0,13.0,17.0,0.0,0.0,1076.0,83.0,1076.0,17.0,1474.0,1474.0,8.0,63.0,888.0,45.0,53.0,194.0,278.0,1474.0,272.0,1157.0,1150.0,239.0,0.0158,0.0771,0.1687,16.34,11.0,3.0,0.021,False,0.0,0.0,726,0.3135962330782813,0.2761389052383755,0.5897351383166569,True,218.0,0.0,91.0,0.0
39049004002,68242.0,1960.0,181.0,101.0,0.0,54.0,0.0,47.0,2462.0,562.0,2462.0,142.0,3255.0,3255.0,0.0,115.0,1515.0,267.0,123.0,43.0,387.0,3392.0,155.0,2792.0,2457.0,709.0,0.0577,0.2283,0.0175,32.81,45.0,27.0,0.7749,False,0.0,0.0,1596,0.2664048533161396,0.1197737463732012,0.3861785996893409,False,412.0,23.0,423.0,22.0
39049004200,60882.0,524.0,32.0,6.0,14.0,34.0,0.0,0.0,663.0,5.0,663.0,0.0,972.0,972.0,19.0,56.0,1598.0,72.0,21.0,50.0,130.0,972.0,184.0,707.0,656.0,56.0,0.0,0.0075,0.0762,29.27,12.0,5.0,0.0383,False,0.0,0.0,595,0.3149699418547353,0.1632666469564074,0.4782365888111428,True,136.0,57.0,59.0,39.0
39049004301,76310.0,1663.0,140.0,52.0,0.0,7.0,68.0,0.0,2070.0,35.0,2070.0,0.0,3012.0,3012.0,0.0,23.0,1628.0,116.0,35.0,220.0,177.0,3012.0,479.0,2342.0,1962.0,25.0,0.0,0.0169,0.1121,36.69,8.0,1.0,0.0051,False,1.0,1.0,1733,0.2560083868431398,0.1292727034464683,0.3852810902896081,False,261.0,27.0,427.0,0.0
39049004302,69500.0,968.0,50.0,0.0,0.0,0.0,34.0,62.0,1100.0,104.0,1100.0,34.0,2472.0,2472.0,362.0,131.0,1159.0,34.0,28.0,54.0,17.0,2472.0,691.0,1356.0,726.0,102.0,0.0309,0.0945,0.0744,33.41,23.0,2.0,0.0293,False,0.0,0.0,645,0.200115107913669,0.1330071942446043,0.3331223021582734,False,281.0,835.0,65.0,145.0
39049004500,51818.0,2036.0,132.0,0.0,171.0,52.0,29.0,0.0,2254.0,52.0,2269.0,28.0,4992.0,4992.0,164.0,312.0,1000.0,60.0,129.0,26.0,331.0,5015.0,1019.0,3638.0,2124.0,173.0,0.0123,0.0231,0.0122,24.91,12.0,1.0,0.0077,False,0.0,0.0,1803,0.2315797599289822,0.1894168049712455,0.4209965649002277,False,866.0,768.0,511.0,76.0
